libraries loaded!
config file loaded!
app.training_policy=results/simpleds-policy.json
app.training_output=results/simpleds-output.txt
app.test_policy=results/simpleds-policy.json
configurations defined!
brain created!
Connected to server!
Initialised agent!
Running in training mode!
[steps avg.reward epsilon avg.actions dialogues time.hrs]
23100 0.5445 0.7698 7.00 23100 0.0715
23200 0.5501 0.7688 7.00 23200 0.0718
23300 0.5451 0.7678 7.00 23300 0.0721
23400 0.5345 0.7668 7.00 23400 0.0724
23500 0.5340 0.7658 7.00 23500 0.0728
23600 0.5120 0.7648 7.00 23600 0.0731
23700 0.5010 0.7638 7.00 23700 0.0734
23800 0.5239 0.7628 7.00 23800 0.0737
23900 0.5194 0.7618 7.00 23900 0.0740
24000 0.5211 0.7608 7.00 24000 0.0743
24100 0.5279 0.7598 7.00 24100 0.0746
24200 0.5414 0.7588 7.00 24200 0.0749
24300 0.5309 0.7578 7.00 24300 0.0752
24400 0.5243 0.7568 7.00 24400 0.0755
24500 0.5281 0.7558 7.00 24500 0.0758
24600 0.5200 0.7548 7.00 24600 0.0762
24700 0.5257 0.7538 7.00 24700 0.0765
24800 0.5061 0.7528 7.00 24800 0.0768
24900 0.4977 0.7518 7.00 24900 0.0771
25000 0.4878 0.7508 7.00 25000 0.0774
Saved output ../../results/simpleds-output.txt
Saved policy ../../results/simpleds-policy.json
25100 0.4893 0.7498 7.00 25100 0.0777
25200 0.4830 0.7488 7.00 25200 0.0780
25300 0.4896 0.7478 7.00 25300 0.0783
25400 0.4871 0.7468 7.00 25400 0.0786
25500 0.4921 0.7458 7.00 25500 0.0789
25600 0.5019 0.7448 7.00 25600 0.0792
25700 0.5065 0.7438 7.00 25700 0.0795
25800 0.5318 0.7428 7.00 25800 0.0799
25900 0.5507 0.7418 7.00 25900 0.0802
26000 0.5524 0.7408 7.00 26000 0.0805
26100 0.5688 0.7397 7.00 26100 0.0808
26200 0.5762 0.7387 7.00 26200 0.0811
26300 0.5812 0.7377 7.00 26300 0.0814
26400 0.5763 0.7367 7.00 26400 0.0817
26500 0.5666 0.7357 7.00 26500 0.0820
26600 0.5804 0.7347 7.00 26600 0.0823
26700 0.5756 0.7337 7.00 26700 0.0826
26800 0.5652 0.7327 7.00 26800 0.0829
26900 0.5800 0.7317 7.00 26900 0.0833
27000 0.6044 0.7307 7.00 27000 0.0836
27100 0.6038 0.7297 7.00 27100 0.0839
27200 0.6011 0.7287 7.00 27200 0.0842
27300 0.5933 0.7277 7.00 27300 0.0845
27400 0.5850 0.7267 7.00 27400 0.0848
27500 0.5860 0.7257 7.00 27500 0.0851
Saved output ../../results/simpleds-output.txt
Saved policy ../../results/simpleds-policy.json
27600 0.5744 0.7247 7.00 27600 0.0854
27700 0.5921 0.7237 7.00 27700 0.0857
27800 0.5845 0.7227 7.00 27800 0.0860
27900 0.5657 0.7217 7.00 27900 0.0863
28000 0.5447 0.7207 7.00 28000 0.0866
28100 0.5489 0.7197 7.00 28100 0.0869
28200 0.5284 0.7187 7.00 28200 0.0873
28300 0.5687 0.7177 7.00 28300 0.0876
28400 0.5929 0.7167 7.00 28400 0.0879
28500 0.5911 0.7157 7.00 28500 0.0882
28600 0.6005 0.7147 7.00 28600 0.0885
28700 0.5773 0.7137 7.00 28700 0.0888
28800 0.5945 0.7127 7.00 28800 0.0891
28900 0.5909 0.7117 7.00 28900 0.0894
29000 0.5782 0.7107 7.00 29000 0.0897
29100 0.5805 0.7097 7.00 29100 0.0900
29200 0.5917 0.7087 7.00 29200 0.0903
29300 0.5626 0.7077 7.00 29300 0.0906
29400 0.5539 0.7067 7.00 29400 0.0909
29500 0.5773 0.7057 7.00 29500 0.0913
29600 0.5914 0.7047 7.00 29600 0.0916
29700 0.6024 0.7037 7.00 29700 0.0919
29800 0.5743 0.7027 7.00 29800 0.0922
29900 0.5799 0.7017 7.00 29900 0.0925
30000 0.5997 0.7007 7.00 30000 0.0928
Saved output ../../results/simpleds-output.txt
Saved policy ../../results/simpleds-policy.json
30100 0.5876 0.6997 7.00 30100 0.0931
30200 0.5849 0.6987 7.00 30200 0.0934
30300 0.5738 0.6977 7.00 30300 0.0937
30400 0.5822 0.6967 7.00 30400 0.0940
30500 0.5680 0.6957 7.00 30500 0.0943
30600 0.5503 0.6947 7.00 30600 0.0946
30700 0.5389 0.6937 7.00 30700 0.0950
30800 0.5513 0.6927 7.00 30800 0.0953
30900 0.5600 0.6917 7.00 30900 0.0956
31000 0.5571 0.6907 7.00 31000 0.0959
31100 0.5604 0.6897 7.00 31100 0.0962
31200 0.5532 0.6887 7.00 31200 0.0965
31300 0.5729 0.6877 7.00 31300 0.0968
31400 0.5711 0.6867 7.00 31400 0.0971
31500 0.5638 0.6857 7.00 31500 0.0974
31600 0.5620 0.6847 7.00 31600 0.0977
31700 0.5707 0.6837 7.00 31700 0.0980
31800 0.5585 0.6827 7.00 31800 0.0983
31900 0.5443 0.6817 7.00 31900 0.0986
32000 0.5309 0.6807 7.00 32000 0.0990
32100 0.5168 0.6797 7.00 32100 0.0993
32200 0.5211 0.6787 7.00 32200 0.0996
32300 0.5033 0.6777 7.00 32300 0.0999
32400 0.4940 0.6767 7.00 32400 0.1002
32500 0.4917 0.6757 7.00 32500 0.1005
Saved output ../../results/simpleds-output.txt
Saved policy ../../results/simpleds-policy.json
32600 0.4874 0.6747 7.00 32600 0.1008
32700 0.5019 0.6737 7.00 32700 0.1011
32800 0.5482 0.6727 7.00 32800 0.1014
32900 0.5695 0.6717 7.00 32900 0.1017
33000 0.5823 0.6707 7.00 33000 0.1020
33100 0.5976 0.6697 7.00 33100 0.1023
33200 0.6162 0.6687 7.00 33200 0.1026
33300 0.6162 0.6677 7.00 33300 0.1029
33400 0.6275 0.6667 7.00 33400 0.1033
33500 0.6325 0.6657 7.00 33500 0.1036
33600 0.6249 0.6647 7.00 33600 0.1039
33700 0.6368 0.6637 7.00 33700 0.1042
33800 0.6245 0.6627 7.00 33800 0.1045
33900 0.6110 0.6617 7.00 33900 0.1048
34000 0.5963 0.6607 7.00 34000 0.1051
34100 0.5865 0.6597 7.00 34100 0.1054
34200 0.5948 0.6587 7.00 34200 0.1057
34300 0.6017 0.6577 7.00 34300 0.1060
34400 0.5943 0.6567 7.00 34400 0.1063
34500 0.5924 0.6557 7.00 34500 0.1066
34600 0.6131 0.6547 7.00 34600 0.1069
34700 0.6002 0.6537 7.00 34700 0.1073
34800 0.5837 0.6527 7.00 34800 0.1076
34900 0.5966 0.6517 7.00 34900 0.1079
35000 0.6066 0.6507 7.00 35000 0.1082
Saved output ../../results/simpleds-output.txt
Saved policy ../../results/simpleds-policy.json
35100 0.6200 0.6497 7.00 35100 0.1085
35200 0.5835 0.6487 7.00 35200 0.1088
35300 0.5920 0.6477 7.00 35300 0.1091
35400 0.6048 0.6467 7.00 35400 0.1094
35500 0.6076 0.6457 7.00 35500 0.1097
35600 0.5895 0.6447 7.00 35600 0.1100
35700 0.5803 0.6437 7.00 35700 0.1103
35800 0.5677 0.6427 7.00 35800 0.1106
35900 0.5734 0.6417 7.00 35900 0.1109
36000 0.5837 0.6407 7.00 36000 0.1113
36100 0.5752 0.6396 7.00 36100 0.1116
36200 0.5957 0.6386 7.00 36200 0.1119
36300 0.5860 0.6376 7.00 36300 0.1122
36400 0.5800 0.6366 7.00 36400 0.1125
36500 0.5884 0.6356 7.00 36500 0.1128
36600 0.5854 0.6346 7.00 36600 0.1131
36700 0.5812 0.6336 7.00 36700 0.1134
36800 0.5913 0.6326 7.00 36800 0.1137
36900 0.5856 0.6316 7.00 36900 0.1141
37000 0.5783 0.6306 7.00 37000 0.1144
37100 0.5665 0.6296 7.00 37100 0.1147
37200 0.5689 0.6286 7.00 37200 0.1150
37300 0.5776 0.6276 7.00 37300 0.1153
37400 0.5979 0.6266 7.00 37400 0.1156
